url,publisher,repo,slug,name,description,category,tags,install_count,github_stars,install_command,date_added,security_audited,external_links
https://skills.sh/larksuite/cli/lark-whiteboard-cli,larksuite,cli,lark-whiteboard-cli,"lark-whiteboard-cli","Discover and install skills for AI agents.",Frontend/Design,"lark, whiteboard, cli",,,"$ npx skills add https://github.com/larksuite/cli --skill lark-whiteboard-cli",,true,"https://vercel.com, https://github.com/larksuite/cli/blob/HEAD/skills/lark-whiteboard-cli/../lark-shared/SKILL.md, https://github.com/larksuite/cli/blob/HEAD/skills/lark-whiteboard-cli/../lark-doc/SKILL.md, https://github.com/larksuite/cli/blob/HEAD/skills/lark-whiteboard-cli/../lark-whiteboard/SKILL.md, https://github.com/larksuite/cli"
https://skills.sh/better-auth/skills/create-auth-skill,better-auth,skills,create-auth-skill,"create-auth-skill","Discover and install skills for AI agents.",Cloud/Azure,"create, auth, skill",,,"$ npx skills add https://github.com/better-auth/skills --skill create-auth-skill",,true,"https://vercel.com, https://better-auth.com/docs, https://better-auth.com/docs, https://github.com/better-auth/examples, https://better-auth.com/docs/concepts/plugins"
https://skills.sh/jimliu/baoyu-skills/baoyu-comic,jimliu,baoyu-skills,baoyu-comic,"baoyu-comic","Discover and install skills for AI agents.",Mobile,"baoyu, comic",,,"$ npx skills add https://github.com/jimliu/baoyu-skills --skill baoyu-comic",,true,"https://vercel.com, https://github.com/jimliu/baoyu-skills/blob/HEAD/skills/baoyu-comic/references/partial-workflows.md, https://github.com/jimliu/baoyu-skills/blob/HEAD/skills/baoyu-comic/references/auto-selection.md, https://github.com/jimliu/baoyu-skills/blob/HEAD/skills/baoyu-comic/references/workflow.md, https://github.com/jimliu/baoyu-skills/blob/HEAD/skills/baoyu-comic/references/config/first-time-setup.md"
https://skills.sh/jimliu/baoyu-skills/baoyu-post-to-x,jimliu,baoyu-skills,baoyu-post-to-x,"baoyu-post-to-x","Discover and install skills for AI agents.",Frontend/Design,"baoyu, post, to, x",,,"$ npx skills add https://github.com/jimliu/baoyu-skills --skill baoyu-post-to-x",,true,"https://vercel.com, https://github.com/jimliu/baoyu-skills"
https://skills.sh/mattpocock/skills/tdd,mattpocock,skills,tdd,"tdd","Discover and install skills for AI agents.",Cloud/Azure,"tdd",,,"$ npx skills add https://github.com/mattpocock/skills --skill tdd",,true,"https://vercel.com, https://github.com/mattpocock/skills/blob/HEAD/tdd/tests.md, https://github.com/mattpocock/skills/blob/HEAD/tdd/mocking.md, https://github.com/mattpocock/skills/blob/HEAD/tdd/deep-modules.md, https://github.com/mattpocock/skills/blob/HEAD/tdd/interface-design.md"
https://skills.sh/googleworkspace/cli/gws-sheets-append,googleworkspace,cli,gws-sheets-append,"gws-sheets-append","Discover and install skills for AI agents.",Frontend/Design,"gws, sheets, append",,,"$ npx skills add https://github.com/googleworkspace/cli --skill gws-sheets-append",,true,"https://vercel.com, https://github.com/googleworkspace/cli/blob/HEAD/skills/gws-sheets-append/../gws-shared/SKILL.md, https://github.com/googleworkspace/cli/blob/HEAD/skills/gws-sheets-append/../gws-sheets/SKILL.md, https://github.com/googleworkspace/cli"
https://skills.sh/googleworkspace/cli/gws-calendar-insert,googleworkspace,cli,gws-calendar-insert,"gws-calendar-insert","Discover and install skills for AI agents.",Frontend/Design,"gws, calendar, insert",,,"$ npx skills add https://github.com/googleworkspace/cli --skill gws-calendar-insert",,true,"https://vercel.com, https://github.com/googleworkspace/cli/blob/HEAD/skills/gws-calendar-insert/../gws-shared/SKILL.md, https://github.com/googleworkspace/cli/blob/HEAD/skills/gws-calendar-insert/../gws-calendar/SKILL.md, https://github.com/googleworkspace/cli"
https://skills.sh/googleworkspace/cli/gws-gmail-send,googleworkspace,cli,gws-gmail-send,"gws-gmail-send","Discover and install skills for AI agents.",Frontend/Design,"gws, gmail, send",,,"$ npx skills add https://github.com/googleworkspace/cli --skill gws-gmail-send",,true,"https://vercel.com, https://github.com/googleworkspace/cli/blob/HEAD/skills/gws-gmail-send/../gws-shared/SKILL.md, https://github.com/googleworkspace/cli/blob/HEAD/skills/gws-gmail-send/../gws-gmail/SKILL.md, https://github.com/googleworkspace/cli"
https://skills.sh/jimliu/baoyu-skills/baoyu-danger-x-to-markdown,jimliu,baoyu-skills,baoyu-danger-x-to-markdown,"baoyu-danger-x-to-markdown","Discover and install skills for AI agents.",Mobile,"baoyu, danger, x, to, markdown",,,"$ npx skills add https://github.com/jimliu/baoyu-skills --skill baoyu-danger-x-to-markdown",,false,"https://vercel.com, https://github.com/jimliu/baoyu-skills/blob/HEAD/skills/baoyu-danger-x-to-markdown/references/config/first-time-setup.md, https://github.com/jimliu/baoyu-skills"
https://skills.sh/useai-pro/openclaw-skills-security/skill-vetter,useai-pro,openclaw-skills-security,skill-vetter,"skill-vetter","Discover and install skills for AI agents.",Frontend/Design,"skill, vetter",,,"$ npx skills add https://github.com/useai-pro/openclaw-skills-security --skill skill-vetter",,true,"https://vercel.com, https://github.com/useai-pro/openclaw-skills-security"
https://skills.sh/googleworkspace/cli/gws-gmail-triage,googleworkspace,cli,gws-gmail-triage,"gws-gmail-triage","Discover and install skills for AI agents.",Frontend/Design,"gws, gmail, triage",,,"$ npx skills add https://github.com/googleworkspace/cli --skill gws-gmail-triage",,true,"https://vercel.com, https://github.com/googleworkspace/cli/blob/HEAD/skills/gws-gmail-triage/../gws-shared/SKILL.md, https://github.com/googleworkspace/cli/blob/HEAD/skills/gws-gmail-triage/../gws-gmail/SKILL.md, https://github.com/googleworkspace/cli"
https://skills.sh/anthropics/skills/claude-api,anthropics,skills,claude-api,"claude-api","Discover and install skills for AI agents.",Frontend/Design,"claude, api",,,"$ npx skills add https://github.com/anthropics/skills --skill claude-api",,true,"https://vercel.com, https://github.com/anthropics/skills"
